"","YEAR","MONTH","DAY","RHD","TMAX","TMIN","RAIN","WV","RAD"
"1",1984,1,1,18.75,30.3,14.15,0,5.63,18.72
"2",1984,1,2,19.31,31.24,13.13,0,5.81,19.91
"3",1984,1,3,21.19,30.44,13.82,0,5.99,19.98
"4",1984,1,4,20.56,31.2,13.36,0,4.82,19.56
"5",1984,1,5,21.5,31.01,13.2,0,3.85,19.41
"6",1984,1,6,20.19,32.43,12.98,0,3.34,20.59
"7",1984,1,7,18.94,33,13.74,0,3.41,19.78
"8",1984,1,8,17.25,33.25,14.05,0,3.73,20.12
"9",1984,1,9,18.75,32.54,13.55,0,4.2,20.28
"10",1984,1,10,18.25,33.93,14.66,0,4.85,19.85
"11",1984,1,11,19,34.55,14.57,0,3.85,19.91
"12",1984,1,12,17.44,33.95,13.94,0,3.98,19.65
"13",1984,1,13,16.5,33.59,13.34,0,4.73,19.99
"14",1984,1,14,17.75,32.74,13.97,0,5.41,20.15
"15",1984,1,15,15.31,28.09,13.07,0,6.24,21.08
"16",1984,1,16,17.19,29.03,12.97,0,5.91,21.14
"17",1984,1,17,18.31,28.8,12.14,0,5.59,21.21
"18",1984,1,18,17.56,28.89,12.24,0,4.61,20.34
"19",1984,1,19,19.81,29.58,12.16,0,4.28,21.19
"20",1984,1,20,18.75,29.52,11.61,0,4.22,20.82
"21",1984,1,21,15.94,29.63,11.88,0,4.55,20.8
"22",1984,1,22,15.88,30.97,11.15,0,3.95,20.3
"23",1984,1,23,18.94,31.05,11.76,0,4.1,20.83
"24",1984,1,24,18.06,31.15,12.29,0,4.85,21.26
"25",1984,1,25,15.31,30.98,11.26,0,3.91,20.86
"26",1984,1,26,16.06,32.47,12.37,0,4.2,20.93
"27",1984,1,27,13.5,33.69,14.37,0,5.68,21
"28",1984,1,28,16.62,32.93,13.38,0,5.39,20.91
"29",1984,1,29,14.38,33.87,13.94,0,4.95,22.1
"30",1984,1,30,14.06,34.22,13.25,0,3.5,21.55
"31",1984,1,31,13.56,34,13.56,0,3.43,21.73
"32",1984,2,1,14.62,34.35,13.84,0,3.17,19.54
"33",1984,2,2,14.5,35.01,14.89,0,3.34,21
"34",1984,2,3,13.88,34.39,14.5,0,3.32,19.99
"35",1984,2,4,13.56,35.45,15.05,0,3.22,21.05
"36",1984,2,5,13.62,32.29,16.96,0,5.06,19.42
"37",1984,2,6,14.38,27.41,15.12,0,6.71,19.49
"38",1984,2,7,19.12,28.23,11.72,0,5.23,22.33
"39",1984,2,8,20.38,28.29,13.86,0,4.63,19.66
"40",1984,2,9,18.69,31.58,14.65,0,3.81,19.9
"41",1984,2,10,15.75,33.55,16.26,0,3.92,20.74
"42",1984,2,11,13.44,34.01,16.38,0,4.3,18.65
"43",1984,2,12,13.5,34.01,16.54,0,4.64,19.54
"44",1984,2,13,12.5,33.93,16.27,0,5.01,19.68
"45",1984,2,14,13.44,33.73,17.01,0,4.78,21.32
"46",1984,2,15,15,34.96,16.95,0,4.64,21.82
"47",1984,2,16,13.38,35.95,17.85,0,4.82,21.99
"48",1984,2,17,13.38,36.54,18,0,4.86,19.14
"49",1984,2,18,14.44,34.03,18.87,0,4.81,21.76
"50",1984,2,19,13.88,33.52,18.26,0,4.92,21.43
"51",1984,2,20,12.75,37.54,18.45,0,5.48,21.35
"52",1984,2,21,12.19,37.08,18.36,0,5.62,17.73
"53",1984,2,22,12,36.51,20.26,0,5.77,17.84
"54",1984,2,23,12.25,36.79,18.75,0,5.3,22.17
"55",1984,2,24,12.88,37.45,18.13,0,4.88,22.41
"56",1984,2,25,12.94,37.45,19.38,0,5.08,20.12
"57",1984,2,26,13.12,38.35,19.26,0,5.55,22.69
"58",1984,2,27,10.38,38.25,19.79,0,6.45,22.86
"59",1984,2,28,9.88,36.47,18.3,0,5.78,21.6
"60",1984,2,29,8.31,36.33,16.7,0,4.87,21.45
"61",1984,3,1,8.12,37.1,16.15,0,3.74,23.23
"62",1984,3,2,7.12,37.79,16.8,0,3.77,23.67
"63",1984,3,3,7.62,38.44,17.13,0,3.11,24.42
"64",1984,3,4,7.69,39.13,17.5,0,3.11,24.08
"65",1984,3,5,8.75,39.25,18.96,0,2.97,24.49
"66",1984,3,6,10.69,39.64,19.92,0,3.02,24.91
"67",1984,3,7,11.81,37.87,20.28,0,2.5,25.02
"68",1984,3,8,12.88,40.51,21.34,0,2.72,25.44
"69",1984,3,9,35.75,40.4,25.3,0.03,4.3,25.13
"70",1984,3,10,28.44,36.25,25.65,0.01,4.16,24.2
"71",1984,3,11,12.62,38.84,22.65,0,5.25,25.53
"72",1984,3,12,12.56,38.73,22.01,0,5.16,23.37
"73",1984,3,13,11.88,39.8,20.96,0,4.29,23.88
"74",1984,3,14,11.81,40.55,21.48,0,3.97,25.09
"75",1984,3,15,13.88,39.97,22.55,0,1.98,25.64
"76",1984,3,16,23,40.44,23.08,0,2.58,25.19
