"","YEAR","MONTH","DAY","RHD","TMAX","TMIN","RAIN","WV","RAD"
"1",1984,1,1,16.19,32.44,15.13,0,5.77,18.98
"2",1984,1,2,16,33.18,15.69,0,6.25,20.17
"3",1984,1,3,17.75,33.61,15.32,0,6.38,20.18
"4",1984,1,4,18.44,32.9,15.12,0,5.16,20.17
"5",1984,1,5,19.38,33.13,15.57,0,4.97,20.11
"6",1984,1,6,17.69,34.66,15.72,0,3.89,20.82
"7",1984,1,7,17.69,34.17,16.31,0,4.14,20.84
"8",1984,1,8,15,34.88,16,0,3.71,21.46
"9",1984,1,9,15.31,33.8,15.37,0,4.72,20.57
"10",1984,1,10,15.69,35.18,16.7,0,5.91,20.48
"11",1984,1,11,15.62,35.7,16.83,0,5.01,20.27
"12",1984,1,12,14.75,35.19,15.99,0,4.41,20.4
"13",1984,1,13,13.12,34.15,15.33,0,4.96,20.77
"14",1984,1,14,13.81,34.17,16.71,0,5.66,20.88
"15",1984,1,15,16.56,30.4,14.59,0,6.5,20.93
"16",1984,1,16,14.94,30.81,14.26,0,5.83,20.94
"17",1984,1,17,14.69,30.35,13.55,0,6.09,21.01
"18",1984,1,18,14.69,31.09,13.34,0,5.31,20.14
"19",1984,1,19,17.38,31.57,14.37,0,4.66,20.97
"20",1984,1,20,17,31.49,14.81,0,4.88,20.96
"21",1984,1,21,14.88,32.08,14.26,0,4.9,21.03
"22",1984,1,22,14.06,32.92,14.39,0,4.75,20.4
"23",1984,1,23,16.06,32.8,14.68,0,4.77,20.97
"24",1984,1,24,15.62,32.73,14.14,0,5.2,18.52
"25",1984,1,25,13.19,32.73,13.65,0,4.34,21.14
"26",1984,1,26,13.88,33.61,14.31,0,4.18,21.11
"27",1984,1,27,12.56,34.55,14.41,0,5.17,21.15
"28",1984,1,28,12.38,34.82,15.37,0,5.95,18.96
"29",1984,1,29,12.31,33.76,15.54,0,5.2,19.06
"30",1984,1,30,11.94,34.92,15.14,0,4.27,21.5
"31",1984,1,31,13.06,35.19,15.63,0,3.59,20.06
"32",1984,2,1,12.62,35.68,16.53,0,3.34,20.28
"33",1984,2,2,12.81,35.5,17.58,0,4.01,19.63
"34",1984,2,3,13.25,35.64,16.44,0,3.73,20.8
"35",1984,2,4,11.75,36.7,17.98,0,3.5,21.06
"36",1984,2,5,12.31,35.95,18.94,0,5.27,19.95
"37",1984,2,6,11.31,30.13,15.69,0,7.34,19.29
"38",1984,2,7,12.31,28.43,14.75,0,5.57,17.51
"39",1984,2,8,15.88,31.21,15.33,0,5.44,20.97
"40",1984,2,9,15.88,33.16,16.72,0,4.66,17.52
"41",1984,2,10,14.81,35.14,18.15,0,4.37,19.58
"42",1984,2,11,13.38,35.43,18.14,0,5.31,17.91
"43",1984,2,12,13.06,35.3,17.9,0,5.14,18.83
"44",1984,2,13,13.62,35.02,18.44,0,5.79,18.9
"45",1984,2,14,14.12,33.69,18.33,0,5.23,20.81
"46",1984,2,15,14.94,33.05,19.76,0,5.88,23.03
"47",1984,2,16,13.12,37.36,19.77,0,5.54,23.22
"48",1984,2,17,13.56,34.87,20.55,0,6.41,19.37
"49",1984,2,18,12.75,35.43,21.24,0,5.19,20.93
"50",1984,2,19,11.25,36.98,21.27,0,5.56,21.63
"51",1984,2,20,11.56,37.74,19.51,0,5.77,20.45
"52",1984,2,21,14.88,37.84,20.49,0,5.09,17.76
"53",1984,2,22,13.44,37.94,22.84,0,4.98,17.88
"54",1984,2,23,11.12,38.27,20.21,0,5.72,22.24
"55",1984,2,24,10.69,38.39,20.26,0,5.59,23.28
"56",1984,2,25,12.69,38.06,20.51,0,5.2,20.03
"57",1984,2,26,12.31,39.26,20.43,0,5.86,19.28
"58",1984,2,27,10.44,38.84,20.83,0,6.5,19.62
"59",1984,2,28,9.44,38,19.39,0,5.94,19.07
"60",1984,2,29,8.56,36.62,18.86,0,5.7,19.25
"61",1984,3,1,8.38,37.88,18.37,0,4.51,20.44
"62",1984,3,2,9.12,38.51,19.37,0,4.48,20.79
"63",1984,3,3,9.12,38.85,19.63,0,4.27,20.93
