"","YEAR","MONTH","DAY","RHD","TMAX","TMIN","RAIN","WV","RAD"
"1",1984,1,1,16.75,31.73,14.98,0,5.53,19.34
"2",1984,1,2,17.06,32.26,15.01,0,6.56,20.11
"3",1984,1,3,19.81,31.9,14.61,0,6.48,20.13
"4",1984,1,4,19.88,32.59,14.23,0,5.3,20.15
"5",1984,1,5,19.81,32.68,14.69,0,4.55,19.72
"6",1984,1,6,19.19,34.04,14.49,0,3.97,19.92
"7",1984,1,7,16.5,33.73,15.87,0,4.62,19.69
"8",1984,1,8,14.31,34.13,15.11,0,4.27,20.69
"9",1984,1,9,15.88,33.04,14.8,0,4.85,20.4
"10",1984,1,10,16.62,35.46,15.88,0,5.75,19.95
"11",1984,1,11,16.88,35.32,15.55,0,4.62,20.4
"12",1984,1,12,14.75,34.49,15.18,0,4.63,20.32
"13",1984,1,13,14.88,33.88,14.15,0,4.85,19.8
"14",1984,1,14,15.62,33.35,15.15,0,5.8,20.07
"15",1984,1,15,17.06,29.8,14.01,0,6.54,21.55
"16",1984,1,16,15.25,29.78,13.19,0,6.5,19.93
"17",1984,1,17,16.25,30.16,12.3,0,6.07,21.49
"18",1984,1,18,17.25,30.47,12.19,0,5.42,19.47
"19",1984,1,19,18.94,31.18,12.91,0,4.51,20.34
"20",1984,1,20,18.56,30.49,13,0,4.4,20.31
"21",1984,1,21,16.5,31.12,12.11,0,4.41,20.11
"22",1984,1,22,16.62,32.19,13.08,0,4.35,20.93
"23",1984,1,23,18.19,32.18,13.65,0,4.48,20.25
"24",1984,1,24,16.88,31.95,13.79,0,5.21,20.35
"25",1984,1,25,15.44,32.43,12.7,0,4.12,20.43
"26",1984,1,26,14.38,33.62,14.26,0,4.94,20.52
"27",1984,1,27,12.19,34.37,14.45,0,6.38,20.51
"28",1984,1,28,15.38,33.54,14.3,0,6.38,21.71
"29",1984,1,29,13.19,33.62,14.57,0,5.44,21.75
"30",1984,1,30,12.62,34.84,13.98,0,4.07,20.9
"31",1984,1,31,12.5,35.17,14.6,0,3.78,20.93
"32",1984,2,1,13.44,35.8,15.76,0,3.91,20.79
"33",1984,2,2,13.38,35.73,16.6,0,4.12,22.26
"34",1984,2,3,13.12,35.31,15.8,0,3.91,20.64
"35",1984,2,4,12.44,36.05,17.19,0,3.75,20.74
"36",1984,2,5,13.38,34.8,17.56,0,5.77,22.46
"37",1984,2,6,12.81,29.04,15.51,0,7.02,21.34
"38",1984,2,7,17.56,28.52,13,0,5.22,21.43
"39",1984,2,8,19.94,30.87,14.51,0,4.93,21.49
"40",1984,2,9,19.81,32.65,15.65,0,4.04,19.79
"41",1984,2,10,16.5,34.08,16.81,0,4.27,21.88
"42",1984,2,11,13.94,34.83,17.27,0,4.93,21.6
"43",1984,2,12,13.81,34.76,17.69,0,5.1,19.69
"44",1984,2,13,14,34.65,17.63,0,5.47,21.78
"45",1984,2,14,15.81,35.33,18.01,0,5.39,20.61
"46",1984,2,15,15,34.71,19.53,0,5.76,19.9
"47",1984,2,16,14,37.36,19.24,0,5.34,20.62
"48",1984,2,17,15.06,35.02,20.12,0,5.63,22.19
"49",1984,2,18,13.81,35.98,20.23,0,4.67,22.8
"50",1984,2,19,12.81,37.15,20.19,0,5.2,22.9
"51",1984,2,20,12.75,38.26,18.84,0,6.02,23.1
"52",1984,2,21,13.56,38.19,19.33,0,6.03,22.6
"53",1984,2,22,11.88,37.25,21.01,0,6.14,22.36
"54",1984,2,23,11.94,37.8,19.16,0,6.08,21.77
"55",1984,2,24,12.19,38.3,19.05,0,6.05,22.97
"56",1984,2,25,12.62,38.59,20.37,0,6.05,22.79
"57",1984,2,26,12,38.86,20.94,0,6.76,23.58
"58",1984,2,27,10.06,38.44,20.67,0,7.15,23.56
"59",1984,2,28,9.62,37.06,18.8,0,6.6,22.84
"60",1984,2,29,9,36.59,16.84,0,5.05,22.74
"61",1984,3,1,8.38,38.08,16.89,0,4.15,20.06
"62",1984,3,2,9.5,38.77,17.77,0,4.21,20.22
"63",1984,3,3,9.06,38.95,18.54,0,3.95,24
"64",1984,3,4,7.25,39.8,18.96,0,3.7,22.8
"65",1984,3,5,8.19,39.45,20.19,0,4.07,23.06
"66",1984,3,6,10,40.19,20.77,0,3.91,24.35
"67",1984,3,7,10.94,41.15,21.36,0,2.79,24.58
"68",1984,3,8,11.5,40.98,22.2,0.06,1.87,24.96
"69",1984,3,9,22.25,40.47,23.57,0.19,1.88,24.56
"70",1984,3,10,28.94,37.33,26.26,0.02,4.05,23.82
"71",1984,3,11,13.81,39.87,22.73,0,6.24,25.38
"72",1984,3,12,14,39.91,22.64,0,6.16,24.52
"73",1984,3,13,14.31,40.26,21.94,0,4.78,23.63
"74",1984,3,14,12.5,40.74,22.09,0,4.78,24.74
"75",1984,3,15,11.69,41.39,22.23,0,2.46,24.86
"76",1984,3,16,12.81,41.12,23.44,0,2.45,24.98
"77",1984,3,17,13.19,41.88,23.33,0.01,4.16,24.99
"78",1984,3,18,16.88,41.25,23.73,0.17,4.59,24.18
"79",1984,3,19,15.06,40.81,24.51,1.04,5.21,24.22
"80",1984,3,20,9.38,40.38,22.48,0.01,4.55,26.65
"81",1984,3,21,8.88,41.05,22.71,0,4.36,27.4
"82",1984,3,22,9.12,42.67,23.4,0.01,3.35,25.03
"83",1984,3,23,25.12,40.03,23.8,0.52,2.59,24.65
"84",1984,3,24,32.38,41.65,25.39,0,4.77,23.7
"85",1984,3,25,11.19,39.61,25.26,0,5.84,22.69
"86",1984,3,26,13.69,37.47,24.83,0,5.27,24.79
"87",1984,3,27,16.69,37.9,23.95,0,5.41,24.49
"88",1984,3,28,20.38,39.42,24.31,0,4.6,25.86
"89",1984,3,29,24.5,40.99,26.62,0.03,3.59,24.89
"90",1984,3,30,14,40.53,25.95,3.1,6.05,24.43
"91",1984,3,31,15.62,40.05,26.67,0.02,4.57,23.84
"92",1984,4,1,17.12,40.62,24.54,0,4.52,22.34
"93",1984,4,2,17.5,41.9,24.96,0,3.61,25.06
"94",1984,4,3,12.5,41.51,24.45,0,4.11,23.62
"95",1984,4,4,10.69,41.98,24.32,0,5.94,22.88
"96",1984,4,5,12.44,41.19,22.8,0,3.85,22.9
"97",1984,4,6,11.88,41.88,24.11,0,4.41,24.42
"98",1984,4,7,18.81,41.79,24.62,0,3.75,22.75
"99",1984,4,8,10.94,40.71,26.65,0,5.75,22.4
"100",1984,4,9,10.69,40.2,22.62,0.09,4.08,22.43
"101",1984,4,10,11.06,40.65,24.62,0.15,4.34,22.62
"102",1984,4,11,15.31,41.83,24.25,0.53,3.14,22.88
"103",1984,4,12,21,42.25,28.48,0,2.48,23.79
"104",1984,4,13,11.25,42.73,26.08,0.02,4.25,20.43
"105",1984,4,14,13.38,42.69,24.51,0.3,5.28,20.84
"106",1984,4,15,13.12,42.71,24.56,0.14,4.73,21.46
"107",1984,4,16,9,42.12,24.48,0.19,2.84,21.08
"108",1984,4,17,25.5,39.79,23.89,0.05,2.52,20.75
"109",1984,4,18,21.75,41.44,25.8,0.05,3.05,24.26
"110",1984,4,19,23.19,42.44,27.31,0.43,2.84,27.7
"111",1984,4,20,39.62,41.14,27.9,1.44,4.52,26.73
"112",1984,4,21,38.19,40.97,29.28,3.52,4.05,23.81
"113",1984,4,22,53,36.52,27.71,0.91,3.73,25.79
"114",1984,4,23,65,32.8,24.99,8.99,3.38,25.4
"115",1984,4,24,65.94,35.51,24.21,0.44,2.3,24
"116",1984,4,25,59.31,35.37,25.49,1.35,3.7,21.39
"117",1984,4,26,54.38,37.7,25.46,2.05,2.09,23
"118",1984,4,27,50.25,39.25,27.3,0.96,2.06,25.4
"119",1984,4,28,47.62,40.96,26.2,0.48,2.8,22.9
"120",1984,4,29,42.5,42.27,26.64,0.59,2.63,21.19
"121",1984,4,30,44.31,40.11,28.3,0.16,4.72,25.36
"122",1984,5,1,58.94,36.27,26.26,5.72,4.04,26.12
"123",1984,5,2,56.5,36.98,25.78,1.94,2.62,26.23
"124",1984,5,3,54.81,37.53,26.04,3.08,2.95,25.23
"125",1984,5,4,58.88,37.51,25.42,6.76,2.96,25.44
